stk_code:ZYNE                ,exchange_type:P ,money_type:  ,hs_price: 0.85               ,em_price: 0.8504             
stk_code:ZTAQW               ,exchange_type:P ,money_type:  ,hs_price: 0.3                ,em_price: 0.2963             
stk_code:ZOM                 ,exchange_type:P ,money_type:  ,hs_price: 0.21               ,em_price: 0.2119             
stk_code:ZKIN                ,exchange_type:P ,money_type:  ,hs_price: 0.81               ,em_price: 0.8066             
stk_code:YVR                 ,exchange_type:P ,money_type:  ,hs_price: 0.36               ,em_price: 0.3599             
stk_code:YJ                  ,exchange_type:P ,money_type:  ,hs_price: 0.86               ,em_price: 0.8550             
stk_code:YGTYF               ,exchange_type:P ,money_type:  ,hs_price: 0.0001             ,em_price: 0.0000             
stk_code:YCBD                ,exchange_type:P ,money_type:  ,hs_price: 0.23               ,em_price: 0.2260             
stk_code:XYF                 ,exchange_type:P ,money_type:  ,hs_price: 2.33               ,em_price: 2.3250             
stk_code:XTNT                ,exchange_type:P ,money_type:  ,hs_price: 0.66               ,em_price: 0.6618             
stk_code:XSPA                ,exchange_type:P ,money_type:  ,hs_price: 0.76               ,em_price: 0.7551             
stk_code:XL                  ,exchange_type:P ,money_type:  ,hs_price: 0.91               ,em_price: 0.9142             
stk_code:XIN                 ,exchange_type:P ,money_type:  ,hs_price: 0.53               ,em_price: 0.5299             
stk_code:XELA                ,exchange_type:P ,money_type:  ,hs_price: 0.49               ,em_price: 0.4911             
stk_code:WKEY                ,exchange_type:P ,money_type:  ,hs_price: 1.44               ,em_price: 1.4401             
stk_code:WISH                ,exchange_type:P ,money_type:  ,hs_price: 0.86               ,em_price: 0.8615             
stk_code:WINT                ,exchange_type:P ,money_type:  ,hs_price: 0.31               ,em_price: 0.3126             
stk_code:WINSF               ,exchange_type:P ,money_type:  ,hs_price: 0.027              ,em_price: 0.0220             
stk_code:WAVE                ,exchange_type:P ,money_type:  ,hs_price: 3.76               ,em_price: 3.7550             
stk_code:VYNT                ,exchange_type:P ,money_type:  ,hs_price: 0.54               ,em_price: 0.5424             
stk_code:VWE                 ,exchange_type:P ,money_type:  ,hs_price: 2.87               ,em_price: 2.8650             
stk_code:VTGN                ,exchange_type:P ,money_type:  ,hs_price: 0.15               ,em_price: 0.1520             
stk_code:VST+A               ,exchange_type:P ,money_type:  ,hs_price: 0.24               ,em_price: 0.2409             
stk_code:VLDR                ,exchange_type:P ,money_type:  ,hs_price: 0.98               ,em_price: 0.9756             
stk_code:VISL                ,exchange_type:P ,money_type:  ,hs_price: 0.44               ,em_price: 0.4360             
stk_code:VIRI                ,exchange_type:P ,money_type:  ,hs_price: 0.39               ,em_price: 0.3913             
stk_code:VINO                ,exchange_type:P ,money_type:  ,hs_price: 0.22               ,em_price: 0.2204             
stk_code:VIEWW               ,exchange_type:P ,money_type:  ,hs_price: 0.07               ,em_price: 0.0743             
stk_code:VHAQ.RT             ,exchange_type:P ,money_type:  ,hs_price: 0.13               ,em_price: 0.1288             
stk_code:VGFC                ,exchange_type:P ,money_type:  ,hs_price: 0.13               ,em_price: 0.1284             
stk_code:VERB                ,exchange_type:P ,money_type:  ,hs_price: 0.49               ,em_price: 0.4883             
stk_code:VENAR               ,exchange_type:P ,money_type:  ,hs_price: 0.3                ,em_price: 0.2999             
stk_code:VEDU                ,exchange_type:P ,money_type:  ,hs_price: 0.81               ,em_price: 0.8075             
stk_code:VCNX                ,exchange_type:P ,money_type:  ,hs_price: 0.48               ,em_price: 0.4765             
stk_code:VBLT                ,exchange_type:P ,money_type:  ,hs_price: 0.15               ,em_price: 0.1491             
stk_code:VAL+                ,exchange_type:P ,money_type:  ,hs_price: 7.82               ,em_price: 7.8199             
stk_code:UXIN                ,exchange_type:P ,money_type:  ,hs_price: 0.57               ,em_price: 0.5680             
stk_code:UWMC+               ,exchange_type:P ,money_type:  ,hs_price: 2.18               ,em_price: 0.1201             
stk_code:UTSI                ,exchange_type:P ,money_type:  ,hs_price: 3.69               ,em_price: 3.6897             
stk_code:UPH                 ,exchange_type:P ,money_type:  ,hs_price: 0.52               ,em_price: 0.5202             
stk_code:UPC                 ,exchange_type:P ,money_type:  ,hs_price: 0.58               ,em_price: 0.5750             
stk_code:UNTCW               ,exchange_type:P ,money_type:  ,hs_price: 9.15               ,em_price: 12.5900            
stk_code:UKOMW               ,exchange_type:P ,money_type:  ,hs_price: 0.06               ,em_price: 0.0551             
stk_code:UK                  ,exchange_type:P ,money_type:  ,hs_price: 2.98               ,em_price: 2.9824             
stk_code:UFAB                ,exchange_type:P ,money_type:  ,hs_price: 0.54               ,em_price: 0.5431             
stk_code:UCL                 ,exchange_type:P ,money_type:  ,hs_price: 0.61               ,em_price: 0.6063             
stk_code:UBX                 ,exchange_type:P ,money_type:  ,hs_price: 0.41               ,em_price: 0.4089             
stk_code:UAMY                ,exchange_type:P ,money_type:  ,hs_price: 0.36               ,em_price: 0.3620             
stk_code:TYDE                ,exchange_type:P ,money_type:  ,hs_price: 0.68               ,em_price: 0.6805             
stk_code:TTOO                ,exchange_type:P ,money_type:  ,hs_price: 0.1                ,em_price: 0.0998             
stk_code:TRX                 ,exchange_type:P ,money_type:  ,hs_price: 0.38               ,em_price: 0.3771             
stk_code:TRVN                ,exchange_type:P ,money_type:  ,hs_price: 0.15               ,em_price: 0.1528             
stk_code:TRIB                ,exchange_type:P ,money_type:  ,hs_price: 1.09               ,em_price: 1.0881             
stk_code:TOUR                ,exchange_type:P ,money_type:  ,hs_price: 0.67               ,em_price: 0.6720             
stk_code:TNXP                ,exchange_type:P ,money_type:  ,hs_price: 0.54               ,em_price: 0.5356             
stk_code:TNTRQ               ,exchange_type:P ,money_type:  ,hs_price: 0.0001             ,em_price: 0.0000             
stk_code:TMDI                ,exchange_type:P ,money_type:  ,hs_price: 0.46               ,em_price: 0.4612             
stk_code:TMBR                ,exchange_type:P ,money_type:  ,hs_price: 0.11               ,em_price: 0.1118             
stk_code:TLIS                ,exchange_type:P ,money_type:  ,hs_price: 0.72               ,em_price: 0.7190             
stk_code:TIRX                ,exchange_type:P ,money_type:  ,hs_price: 0.6                ,em_price: 0.5959             
stk_code:THMO                ,exchange_type:P ,money_type:  ,hs_price: 0.19               ,em_price: 0.1928             
stk_code:THM                 ,exchange_type:P ,money_type:  ,hs_price: 0.43               ,em_price: 0.4313             
stk_code:TENX                ,exchange_type:P ,money_type:  ,hs_price: 0.17               ,em_price: 0.1660             
stk_code:TCBP                ,exchange_type:P ,money_type:  ,hs_price: 0.27               ,em_price: 0.2668             
stk_code:TAOP                ,exchange_type:P ,money_type:  ,hs_price: 0.59               ,em_price: 0.5890             
stk_code:TANH                ,exchange_type:P ,money_type:  ,hs_price: 0.19               ,em_price: 0.1880             
stk_code:T035884             ,exchange_type:P ,money_type:1 ,hs_price:0                   ,em_price:                    
stk_code:T034452             ,exchange_type:P ,money_type:1 ,hs_price:0                   ,em_price:                    
stk_code:SYBX                ,exchange_type:P ,money_type:  ,hs_price: 0.9                ,em_price: 0.8966             
stk_code:SY                  ,exchange_type:P ,money_type:  ,hs_price: 0.73               ,em_price: 0.7296             
stk_code:STIXW               ,exchange_type:P ,money_type:  ,hs_price: 0.14               ,em_price: 0.1350             
stk_code:SSKN                ,exchange_type:P ,money_type:  ,hs_price: 0.82               ,em_price: 0.8247             
stk_code:SPRC                ,exchange_type:P ,money_type:  ,hs_price: 0.81               ,em_price: 0.8087             
stk_code:SPPI                ,exchange_type:P ,money_type:  ,hs_price: 0.44               ,em_price: 0.4403             
stk_code:SPBC                ,exchange_type:P ,money_type:  ,hs_price: 19.58              ,em_price: 19.5833            
stk_code:SONM                ,exchange_type:P ,money_type:  ,hs_price: 0.54               ,em_price: 0.5408             
stk_code:SNPTY               ,exchange_type:P ,money_type:  ,hs_price: 44                 ,em_price: 45.6600            
stk_code:SNNAQ               ,exchange_type:P ,money_type:  ,hs_price: 0.0001             ,em_price: 0.0000             
stk_code:SNMP                ,exchange_type:P ,money_type:  ,hs_price: 0.32               ,em_price: 0.3181             
stk_code:SNGX                ,exchange_type:P ,money_type:  ,hs_price: 0.49               ,em_price: 0.4908             
stk_code:SNES                ,exchange_type:P ,money_type:  ,hs_price: 0.43               ,em_price: 0.4290             
